observation_id,organism_name,strain_name,query_used,gcf_accession,gca_accession,ncbi_taxid,biosample,bioproject,genome_match_status,notes
P0422b6975d81-OBS02,Bacillus amyloliquefaciens,205,Bacillus amyloliquefaciens 205,GCF_013328835.1,,1390,SAMN15097872,PRJNA637172,exact_strain_match,
P0422b6975d81-OBS03,Bacillus amyloliquefaciens,205,Bacillus amyloliquefaciens 205,GCF_013328835.1,,1390,SAMN15097872,PRJNA637172,exact_strain_match,
P0422b6975d81-OBS04,Bacillus amyloliquefaciens,205,Bacillus amyloliquefaciens 205,GCF_013328835.1,,1390,SAMN15097872,PRJNA637172,exact_strain_match,
P0422b6975d81-OBS05,Bacillus amyloliquefaciens,205spo -,Bacillus amyloliquefaciens 205spo -,GCF_059995145.1,,1390,,,species_only_match,20 assemblies found for the species but none matched strain token '205spo -'.
P0422b6975d81-OBS06,Bacillus amyloliquefaciens,205PG8spo -,Bacillus amyloliquefaciens 205PG8spo -,GCF_059995145.1,,1390,,,species_only_match,20 assemblies found for the species but none matched strain token '205PG8spo -'.
P050687079f6b-OBS01,Bifidobacterium bifidum,,Bifidobacterium bifidum,GCF_057457655.1,,1681,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P06283cb1f048-OBS01,Streptomyces lividans,XC,Streptomyces lividans,,GCA_051124645.1,1916,,,species_only_match,40 assemblies found for the species but none matched strain token 'XC'.
P06283cb1f048-OBS02,Streptomyces lividans,XCBR,Streptomyces lividans XCBR,,GCA_051124645.1,1916,,,species_only_match,20 assemblies found for the species but none matched strain token 'XCBR'.
P06283cb1f048-OBS03,Streptomyces lividans,XCr,Streptomyces lividans XCr,,GCA_051124645.1,1916,,,species_only_match,20 assemblies found for the species but none matched strain token 'XCr'.
P06283cb1f048-OBS04,Streptomyces lividans,XCPR,Streptomyces lividans XCPR,,GCA_051124645.1,1916,,,species_only_match,20 assemblies found for the species but none matched strain token 'XCPR'.
P07e60e080998-OBS01,Acinetobacter baumannii,ATCC 17978,Acinetobacter baumannii ATCC 17978,GCF_026167805.1,,400667,SAMN10245912,PRJNA497482,multiple_possible_matches,"12 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P07e60e080998-OBS02,Acinetobacter baumannii,,Acinetobacter baumannii,GCF_987538625.1,,470,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P07e60e080998-OBS03,Acinetobacter baumannii,,Acinetobacter baumannii,GCF_987538625.1,,470,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P08c18c8b3fe1-OBS01,Gluconacetobacter xylinus,ATCC 700178,Gluconacetobacter xylinus,,GCA_060345015.1,28448,,,species_only_match,16 assemblies found for the species but none matched strain token 'ATCC 700178'.
P08c18c8b3fe1-OBS02,Gluconacetobacter hansenii,ATCC 53582,Gluconacetobacter hansenii,GCF_059512305.1,,33996,,,species_only_match,40 assemblies found for the species but none matched strain token 'ATCC 53582'.
P08c18c8b3fe1-OBS03,Komagataeibacter rhaeticus,iGEM,Komagataeibacter rhaeticus iGEM,GCF_900086575.1,,215221,SAMEA3554188,PRJEB10933,exact_strain_match,
P0986dac37ed3-OBS01,Mycoplasma pneumoniae,,Mycoplasma pneumoniae,,,,,,no_genome_found,Strain not resolvable from abstract text; searched at species level only.
P0986dac37ed3-OBS02,synthetic Mycoplasma mycoides,,synthetic Mycoplasma,GCF_900489825.1,,40477,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P0986dac37ed3-OBS03,Mycoplasma pneumoniae,,Mycoplasma pneumoniae,,,,,,no_genome_found,Strain not resolvable from abstract text; searched at species level only.
P0986dac37ed3-OBS04,synthetic Mycoplasma mycoides,,synthetic Mycoplasma,GCF_900489825.1,,40477,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P0986dac37ed3-OBS05,Mycoplasma pneumoniae,,Mycoplasma pneumoniae,,,,,,no_genome_found,Strain not resolvable from abstract text; searched at species level only.
P0c999ae29765-OBS01,grass carp,CIK,grass carp CIK,,GCA_056882255.1,7959,,,species_only_match,6 assemblies found for the species but none matched strain token 'CIK'.
P0c999ae29765-OBS02,grass carp,CIK,grass carp CIK,,GCA_056882255.1,7959,,,species_only_match,6 assemblies found for the species but none matched strain token 'CIK'.
P0c999ae29765-OBS03,Chinese giant salamander,GSM,Chinese giant GSM,,GCA_058969025.1,64149,,,species_only_match,12 assemblies found for the species but none matched strain token 'GSM'.
P0eb3a02a33d8-OBS01,Synechococcus elongatus,PCC 7942,Synechococcus elongatus PCC 7942,GCF_030544905.1,,1140,SAMN36340636,PRJNA992074,multiple_possible_matches,"3 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P0eb3a02a33d8-OBS02,Synechococcus elongatus,PCC 7942,Synechococcus elongatus PCC 7942,GCF_030544905.1,,1140,SAMN36340636,PRJNA992074,multiple_possible_matches,"3 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P0eb3a02a33d8-OBS03,Synechococcus elongatus,PCC 7942,Synechococcus elongatus PCC 7942,GCF_030544905.1,,1140,SAMN36340636,PRJNA992074,multiple_possible_matches,"3 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P11e62097ae4a-OBS01,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P11e62097ae4a-OBS02,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P11e62097ae4a-OBS03,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P11e62097ae4a-OBS04,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P11e62097ae4a-OBS05,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P11e62097ae4a-OBS06,M. smegmatis,mc2155,M. smegmatis,,,,,,no_genome_found,
P124c6ed18081-OBS01,Mycobacterium tuberculosis,H37Rv,Mycobacterium tuberculosis H37Rv,,GCA_021729825.1,83332,SAMN15299584,PRJNA391496,multiple_possible_matches,"12 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P124c6ed18081-OBS02,Mycobacterium tuberculosis,ΔrecA,Mycobacterium tuberculosis ΔrecA,GCF_059717755.1,,1765,,,species_only_match,20 assemblies found for the species but none matched strain token 'ΔrecA'.
P124c6ed18081-OBS03,Mycobacterium tuberculosis,pafBCCRISPRi/dCas9,Mycobacterium tuberculosis,GCF_059717755.1,,1765,,,species_only_match,40 assemblies found for the species but none matched strain token 'pafBCCRISPRi/dCas9'.
P124c6ed18081-OBS04,Mycobacterium tuberculosis,ΔrecA pafBCCRISPRi/dCas9,Mycobacterium tuberculosis,GCF_059717755.1,,1765,,,species_only_match,40 assemblies found for the species but none matched strain token 'ΔrecA pafBCCRISPRi/dCas9'.
P13927d85eba0-OBS01,Synechococcus sp. strain PCC 7002,PCC 7002,Synechococcus sp. PCC 7002,GCF_963895405.1,,32049,SAMEA115018591,PRJEB71012,multiple_possible_matches,"7 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P13927d85eba0-OBS02,Synechococcus sp. strain PCC 7002,PCC 7002,Synechococcus sp. PCC 7002,GCF_963895405.1,,32049,SAMEA115018591,PRJEB71012,multiple_possible_matches,"7 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P13927d85eba0-OBS03,Synechococcus sp. strain PCC 7002,PCC 7002,Synechococcus sp. PCC 7002,GCF_963895405.1,,32049,SAMEA115018591,PRJEB71012,multiple_possible_matches,"7 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P17e754b1877a-OBS01,Anabaena sp.,,Anabaena sp.,,GCA_011332035.1,1167,,,species_only_match,"Strain not resolvable from abstract text; species-level assembly shown as an example only, not an exact match."
P1851edfd42c6-OBS01,Escherichia coli,DH5α,Escherichia coli DH5α,GCF_000982435.1,,668369,,,species_only_match,1 assemblies found for the species but none matched strain token 'DH5α'.
P1851edfd42c6-OBS02,Escherichia coli,W-15,Escherichia coli,GCF_987537325.1,,562,,,species_only_match,40 assemblies found for the species but none matched strain token 'W-15'.
P1851edfd42c6-OBS03,Acinetobacter baumannii,ATCC 17978,Acinetobacter baumannii ATCC 17978,GCF_026167805.1,,400667,SAMN10245912,PRJNA497482,multiple_possible_matches,"12 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
P1851edfd42c6-OBS04,Acinetobacter baumannii,Ab1,Acinetobacter baumannii Ab1,,GCA_056844325.1,470,SAMN57199292,PRJNA1363103,multiple_possible_matches,"15 assemblies matched the exact strain token; kept the first, see NCBI assembly for the rest."
